زمان ثبت,نوع بازخورد‌دهنده,نوع پروژه,وظیفه/فرآیند,امتیاز رضایت,دسته‌بندی مشکل,توضیح مشکل,شناسه پروژه/وظیفه
2025-08-26 13:45:13,مشتری,راهنمای فرودگاه,,2,دید تابلو,تابلوها در شب خوانا نیستند,P123
2025-08-26 13:54:25,کارمند,,طراحی,2,تأخیر در نصب/وظیفه,رضایت امتحانی,
2025-08-26 14:09:41,مشتری,راهنمای فرودگاه,,2,دید تابلو,تابلوها در شب خوانا نیستند,P101
2025-08-26 14:09:41,مشتری,تابلوهای فضای عمومی,,3,تأخیر در نصب/وظیفه,نصب تابلوها با تأخیر انجام شد,P102
2025-08-26 14:09:41,مشتری,راهنمای فرودگاه,,4,کیفیت مواد,مواد تابلو با کیفیت به نظر می‌رسد,P103
2025-08-26 14:09:41,مشتری,سایر,,1,دقت طراحی,طراحی تابلو با نقشه مطابقت ندارد,P104
2025-08-26 14:09:41,کارمند,,طراحی,3,هماهنگی تیم,عدم هماهنگی بین طراحی و تولید,T201
2025-08-26 14:09:42,کارمند,,نصب,2,تأخیر در نصب/وظیفه,نصب به دلیل کمبود ابزار به تأخیر افتاد,T202
2025-08-26 14:09:42,کارمند,,تولید,4,کیفیت مواد,مواد اولیه کیفیت خوبی دارند,T203
2025-08-26 14:09:42,کارمند,,مدیریت پروژه,3,هماهنگی تیم,نیاز به جلسات هماهنگی بیشتر است,T204
2025-08-26 14:12:01,مشتری,راهنمای فرودگاه,,1,دقت طراحی,ایراد فنی,
2025-08-26 14:12:50,مشتری,تابلوهای فضای عمومی,,3,دید تابلو,نامشخصی,
2025-08-26 14:44:47,مشتری,راهنمای فرودگاه,,2,دید تابلو,تابلوها در روز خوانا نیستند,P105
2025-08-26 14:44:47,مشتری,تابلوهای فضای عمومی,,3,تأخیر در نصب/وظیفه,نصب تابلوها یک هفته دیرتر انجام شد,P106
2025-08-26 14:44:47,مشتری,سایر,,4,کیفیت مواد,مواد تابلو مقاوم به نظر می‌رسد,P107
2025-08-26 14:44:47,مشتری,راهنمای فرودگاه,,1,دقت طراحی,تابلو با طرح اولیه مطابقت ندارد,P108
2025-08-26 14:44:47,مشتری,تابلوهای فضای عمومی,,3,هماهنگی تیم,عدم هماهنگی در نصب تابلوها,P109
2025-08-26 14:45:39,مشتری,راهنمای فرودگاه,,2,دید تابلو,فونت تابلو خیلی کوچک است,P110
2025-08-26 14:45:56,کارمند,,طراحی,2,هماهنگی تیم,ارتباط ضعیف با تیم تولید,T205
2025-08-26 14:45:56,کارمند,,نصب,3,تأخیر در نصب/وظیفه,کمبود ابزار برای نصب,T206
2025-08-26 14:45:56,کارمند,,تولید,4,کیفیت مواد,مواد اولیه کیفیت بالایی دارند,T207
2025-08-26 14:45:56,کارمند,,مدیریت پروژه,2,هماهنگی تیم,جلسات هماهنگی کافی نیست,T208
2025-08-26 14:45:56,کارمند,,خرید مواد,3,تأخیر در نصب/وظیفه,تأخیر در تأمین مواد اولیه,T209
2025-08-26 14:45:57,کارمند,,سایر,1,دقت طراحی,طرح‌های ارسالی ناقص بودند,T210
